region,product,sales,profit,quarter
North,Laptops,150000,45000,Q1
North,Tablets,89000,22000,Q1
North,Phones,245000,73500,Q1
South,Laptops,180000,54000,Q1
South,Tablets,95000,23750,Q1
South,Phones,220000,66000,Q1
East,Laptops,165000,49500,Q1
East,Tablets,78000,19500,Q1
East,Phones,267000,80100,Q1
West,Laptops,198000,59400,Q1
West,Tablets,112000,28000,Q1
West,Phones,189000,56700,Q1
North,Laptops,158000,47400,Q2
North,Tablets,92000,23000,Q2
North,Phones,267000,80100,Q2
South,Laptops,187000,56100,Q2
South,Tablets,98000,24500,Q2
South,Phones,234000,70200,Q2
East,Laptops,172000,51600,Q2
East,Tablets,81000,20250,Q2
East,Phones,278000,83400,Q2
West,Laptops,205000,61500,Q2
West,Tablets,118000,29500,Q2
West,Phones,201000,60300,Q2 
